itemId,rowId,measure,outcome
GAUNTLET-033::CLR::clar-2,GAUNTLET-033,M09,NO_GAP
GAUNTLET-033::CLR::clar-3,GAUNTLET-033,M09,NO_GAP
GAUNTLET-045::CLR::clar-1,GAUNTLET-045,M09,NO_GAP
GAUNTLET-045::CLR::clar-2,GAUNTLET-045,M09,NO_GAP
GAUNTLET-045::CLR::clar-3,GAUNTLET-045,M09,NO_GAP
GAUNTLET-054::CLR::scaffold_load_occupancy,GAUNTLET-054,M09,NO_GAP
GAUNTLET-054::CLR::ground_condition_assessment,GAUNTLET-054,M09,NO_GAP
GAUNTLET-054::CLR::scaffold_height_and_leveling,GAUNTLET-054,M09,NO_GAP
GAUNTLET-062::CLR::clar-1,GAUNTLET-062,M09,NO_GAP
GAUNTLET-062::CLR::clar-2,GAUNTLET-062,M09,NO_GAP
GAUNTLET-062::CLR::clar-3,GAUNTLET-062,M09,NO_GAP
GAUNTLET-082::CLR::vehicle-still-in-service,GAUNTLET-082,M09,NO_GAP
GAUNTLET-082::CLR::terrain-grade-pit-edge,GAUNTLET-082,M09,NO_GAP
GAUNTLET-082::CLR::compensating-controls,GAUNTLET-082,M09,NO_GAP
POPA-A-13::CLR::extinguisher-removal-reason,POPA-A-13,M09,NO_GAP
POPA-A-13::CLR::charging-room-activity-status,POPA-A-13,M09,NO_GAP
POPA-A-13::CLR::alternate-fire-protection,POPA-A-13,M09,NO_GAP
POPA-A-14::CLR::chem-agents-used,POPA-A-14,M09,NO_GAP
POPA-A-14::CLR::why-no-flow,POPA-A-14,M09,NO_GAP
POPA-A-14::CLR::current-work-status,POPA-A-14,M09,NO_GAP
POPA-A-15::CLR::cc-1,POPA-A-15,M09,NO_GAP
POPA-A-15::CLR::cc-2,POPA-A-15,M09,NO_GAP
POPA-A-16::CLR::clar-loto-relevance,POPA-A-16,M09,NO_GAP
POPA-A-20::CLR::clar-1,POPA-A-20,M09,NO_GAP
POPA-A-20::CLR::clar-2,POPA-A-20,M09,NO_GAP
POPA-A-27::CLR::cover-load-rating,POPA-A-27,M09,NO_GAP
POPA-A-27::CLR::hazcom-basis,POPA-A-27,M09,NO_GAP
POPA-A-32::CLR::clar-1,POPA-A-32,M09,NO_GAP
POPA-A-32::CLR::clar-2,POPA-A-32,M09,NO_GAP
POPA-A-33::CLR::clar-1,POPA-A-33,M09,NO_GAP
POPA-A-33::CLR::clar-2,POPA-A-33,M09,NO_GAP
POPA-A-33::CLR::clar-3,POPA-A-33,M09,NO_GAP
AUG-01::CLR::clar-1,AUG-01,M09,NO_GAP
AUG-01::CLR::clar-2,AUG-01,M09,NO_GAP
AUG-02::CLR::clar-guard-removal-scope,AUG-02,M09,NO_GAP
AUG-02::CLR::clar-loto-scope-verification,AUG-02,M09,NO_GAP
AUG-03::CLR::fall-protection-means,AUG-03,M09,NO_GAP
AUG-03::CLR::roof-edge-full-perimeter,AUG-03,M09,NO_GAP
AUG-03::CLR::service-drop-distance-and-status,AUG-03,M09,NO_GAP
AUG-05::CLR::clar-1,AUG-05,M09,NO_GAP
AUG-05::CLR::clar-2,AUG-05,M09,NO_GAP
AUG-05::CLR::clar-3,AUG-05,M09,NO_GAP
AUG-06::CLR::cord-deenergize-status,AUG-06,M09,NO_GAP
AUG-06::CLR::worker-proximity,AUG-06,M09,NO_GAP
AUG-06::CLR::gfci-protection,AUG-06,M09,NO_GAP
AUG-08::CLR::clar-fall-protection-retrieval,AUG-08,M09,NO_GAP
AUG-08::CLR::clar-loto-other-energy-sources,AUG-08,M09,NO_GAP
AUG-08::CLR::clar-walking-surface-detail,AUG-08,M09,NO_GAP
AUG-09::CLR::clar-guard-inspection,AUG-09,M09,NO_GAP
AUG-09::CLR::clar-sump-barricade-type,AUG-09,M09,NO_GAP
AUG-10::CLR::clar-1,AUG-10,M09,USEFUL
AUG-10::CLR::clar-2,AUG-10,M09,NO_GAP
AUG-10::CLR::clar-3,AUG-10,M09,NO_GAP
AUG-11::CLR::accumulator-bled-status,AUG-11,M09,DECISION_MISMATCH
AUG-11::CLR::crew-return-and-verification,AUG-11,M09,NO_GAP
AUG-11::CLR::loto-scope-completeness,AUG-11,M09,NO_GAP
AUG-12::CLR::clar-gfci,AUG-12,M09,NO_GAP
AUG-12::CLR::clar-atm-results,AUG-12,M09,NO_GAP
AUG-12::CLR::clar-permit,AUG-12,M09,NO_GAP
AUG-12::CLR::clar-fall-protection-detail,AUG-12,M09,NO_GAP
SEM-01::CLR::clar-gas-readings,SEM-01,M09,DECISION_MISMATCH
SEM-01::CLR::clar-line-isolation,SEM-01,M09,NO_GAP
SEM-01::CLR::clar-permit-completeness,SEM-01,M09,NO_GAP
SEM-01::CLR::clar-rescue-provisions,SEM-01,M09,NO_GAP
SEM-02::CLR::arbor_pinned_or_blocked,SEM-02,M09,DECISION_MISMATCH
SEM-02::CLR::second_person_at_panel,SEM-02,M09,NO_GAP
SEM-02::CLR::loto_verification_zero_energy,SEM-02,M09,NO_GAP
SEM-03::CLR::clar-gfci,SEM-03,M09,DECISION_MISMATCH
SEM-03::CLR::clar-loto-energy,SEM-03,M09,NO_GAP
SEM-03::CLR::clar-confined-space-permit,SEM-03,M09,NO_GAP
SEM-03::CLR::clar-fall-protection-detail,SEM-03,M09,NO_GAP
SEM-04::CLR::clar-plate-rating,SEM-04,M09,DECISION_MISMATCH
SEM-04::CLR::clar-spotter-absence,SEM-04,M09,NO_GAP
SEM-04::CLR::clar-trench-condition,SEM-04,M09,NO_GAP
SEM-04::CLR::clar-sprinkler-isolation,SEM-04,M09,NO_GAP
SEM-07::CLR::clq-disconnect-loto,SEM-07,M09,NO_GAP
SEM-07::CLR::clq-nitrogen-bleed-status,SEM-07,M09,DECISION_MISMATCH
SEM-07::CLR::clq-operator-position,SEM-07,M09,NO_GAP
SEM-08::CLR::clar-1,SEM-08,M09,NO_GAP
SEM-08::CLR::clar-2,SEM-08,M09,NO_GAP
SEM-08::CLR::clar-3,SEM-08,M09,NO_GAP
SEM-08::CLR::clar-4,SEM-08,M09,NO_GAP
SEM-09::CLR::light-rating,SEM-09,M09,USEFUL
SEM-09::CLR::respiratory-protection,SEM-09,M09,NO_GAP
SEM-09::CLR::vapor-concentration,SEM-09,M09,NO_GAP
SEM-10::CLR::clar-gfci,SEM-10,M09,USEFUL
SEM-10::CLR::clar-rescue,SEM-10,M09,NO_GAP
SEM-10::CLR::clar-permit,SEM-10,M09,NO_GAP
SEM-10::CLR::clar-vehicle-barrier,SEM-10,M09,NO_GAP
SEM-15::CLR::clar-wand-pressure,SEM-15,M09,DECISION_MISMATCH
SEM-15::CLR::clar-silica-ppe,SEM-15,M09,NO_GAP
SEM-15::CLR::clar-hood-capture,SEM-15,M09,NO_GAP
SEM-16::CLR::clar-1,SEM-16,M09,DECISION_MISMATCH
SEM-16::CLR::clar-2,SEM-16,M09,NO_GAP
SEM-16::CLR::clar-3,SEM-16,M09,NO_GAP
SEM-17::CLR::disconnect-lockable,SEM-17,M09,DECISION_MISMATCH
SEM-17::CLR::who-else-has-access,SEM-17,M09,NO_GAP
SEM-17::CLR::fall-protection-hatch-ladder,SEM-17,M09,NO_GAP
SEM-18::CLR::isolation_status,SEM-18,M09,USEFUL
SEM-18::CLR::energy_verification,SEM-18,M09,NO_GAP
SEM-18::CLR::authorized_procedure,SEM-18,M09,NO_GAP
SEM-19::CLR::clar-1,SEM-19,M09,NO_GAP
SEM-19::CLR::clar-2,SEM-19,M09,NO_GAP
SEM-19::CLR::clar-3,SEM-19,M09,NO_GAP
SEM-21::CLR::coating-lead-chromate-testing,SEM-21,M09,DECISION_MISMATCH
SEM-21::CLR::respirator-selection-basis,SEM-21,M09,NO_GAP
SEM-21::CLR::vacuum-shroud-effectiveness,SEM-21,M09,NO_GAP
SEM-24::CLR::clar-steam-isolation,SEM-24,M09,USEFUL
SEM-24::CLR::clar-blank-list-scope,SEM-24,M09,NO_GAP
SEM-24::CLR::clar-entry-permit,SEM-24,M09,NO_GAP
SEM-30::CLR::calibration_date,SEM-30,M09,DECISION_MISMATCH
SEM-30::CLR::calibration_records_location,SEM-30,M09,NO_GAP
SEM-30::CLR::scba_readiness,SEM-30,M09,NO_GAP
SEM-31::CLR::clar-spill-source,SEM-31,M09,NO_GAP
SEM-31::CLR::clar-spill-proximity-electrical,SEM-31,M09,NO_GAP
SEM-31::CLR::clar-spill-response,SEM-31,M09,NO_GAP
SEM-32::CLR::clar-coolant-ppe,SEM-32,M09,NO_GAP
SEM-33::CLR::clar-hazcom-basis,SEM-33,M09,NO_GAP
SEM-34::CLR::clar-1,SEM-34,M09,NO_GAP
SRC-MSHA-019::CLR::clar-brake-control,SRC-MSHA-019,M09,NO_GAP
SRC-MSHA-019::CLR::clar-warning-system,SRC-MSHA-019,M09,NO_GAP
SRC-MSHA-019::CLR::clar-injury-extent,SRC-MSHA-019,M09,NO_GAP
SRC-MSHA-019::CLR::clar-grade-terrain,SRC-MSHA-019,M09,NO_GAP
SRC-MSHA-041::CLR::c1,SRC-MSHA-041,M09,NO_GAP
SRC-MSHA-041::CLR::c2,SRC-MSHA-041,M09,NO_GAP
SRC-MSHA-041::CLR::c3,SRC-MSHA-041,M09,NO_GAP
SRC-MSHA-057::CLR::clar-injuries-damage,SRC-MSHA-057,M09,NO_GAP
SRC-MSHA-057::CLR::clar-intersection-controls,SRC-MSHA-057,M09,NO_GAP
SRC-MSHA-057::CLR::clar-speed-limits,SRC-MSHA-057,M09,NO_GAP
SRC-MSHA-057::CLR::clar-stationary-vehicle-occupied,SRC-MSHA-057,M09,NO_GAP
SRC-OSHA-005::CLR::energy-type-present,SRC-OSHA-005,M09,NO_GAP
SRC-OSHA-005::CLR::worker-still-exposed,SRC-OSHA-005,M09,NO_GAP
SRC-OSHA-005::CLR::guarding-state,SRC-OSHA-005,M09,NO_GAP
SRC-OSHA-005::CLR::other-workers-nearby,SRC-OSHA-005,M09,NO_GAP
